0,1,2,3,4
00193.png,neutral,0,Woman,white
00194.png,neutral,0,Woman,white
00195.png,neutral,1,Woman,latino hispanic
00198.png,neutral,1,Man,black
00200.png,neutral,0,Woman,white
00201.png,pos,0,Woman,white
00202.png,pos,1,Woman,asian
00203.png,neg,0,Woman,white
00206.png,pos,0,Woman,latino hispanic
00208.png,pos,1,Woman,asian
00209.png,pos,0,Woman,white
00210.png,neg,0,Man,white
00213.png,pos,0,Woman,latino hispanic
00215.png,pos,0,Woman,white
00220.png,neg,0,Woman,white
00222.png,neutral,1,Woman,white
00223.png,pos,1,Woman,asian
00224.png,pos,1,Man,latino hispanic
00225.png,neutral,0,Woman,asian
00226.png,pos,0,Man,latino hispanic
00227.png,pos,1,Man,latino hispanic
00228.png,pos,0,Man,latino hispanic
00229.png,pos,0,Man,latino hispanic
00230.png,neutral,0,Woman,white
00231.png,pos,0,Woman,latino hispanic
00232.png,neg,1,Man,asian
00233.png,pos,0,Man,latino hispanic
00236.png,neutral,0,Woman,white
00237.png,pos,0,Woman,latino hispanic
00241.png,pos,0,Woman,asian
00243.png,neutral,0,Woman,white
00249.png,pos,0,Woman,white
00251.png,pos,0,Woman,white
00253.png,pos,1,Woman,asian
00255.png,neg,1,Man,white
00259.png,neg,0,Man,white
00260.png,pos,0,Woman,white
00261.png,pos,0,Woman,white
00263.png,neg,0,Man,asian
00265.png,pos,0,Man,black
00266.png,pos,0,Woman,white
00269.png,neutral,0,Man,latino hispanic
00271.png,pos,1,Woman,asian
00275.png,pos,0,Woman,white
00280.png,pos,0,Woman,latino hispanic
00282.png,pos,1,Woman,latino hispanic
00283.png,pos,0,Woman,white
00287.png,pos,0,Woman,asian
00289.png,neutral,0,Woman,white
00290.png,neutral,1,Woman,white
00293.png,pos,0,Woman,white
00294.png,neutral,1,Woman,white
00295.png,pos,1,Man,latino hispanic
00298.png,pos,0,Woman,white
00299.png,pos,1,Woman,white
00301.png,pos,0,Woman,white
00302.png,pos,0,Woman,white
00303.png,neg,0,Man,white
00304.png,neutral,0,Woman,white
00305.png,pos,1,Man,latino hispanic
00307.png,pos,0,Woman,white
00308.png,neutral,0,Woman,asian
00309.png,pos,0,Woman,latino hispanic
00310.png,neg,0,Woman,white
00312.png,neutral,0,Woman,asian
00313.png,neg,1,Woman,asian
00314.png,pos,0,Woman,white
00316.png,pos,0,Woman,asian
00317.png,pos,1,Man,black
00318.png,neg,0,Man,white
00322.png,neutral,0,Man,latino hispanic
00324.png,neg,1,Man,latino hispanic
00326.png,neg,0,Man,white
00328.png,pos,1,Woman,latino hispanic
00329.png,pos,0,Woman,asian
00330.png,neutral,0,Woman,white
00331.png,pos,0,Woman,white
00332.png,pos,1,Woman,asian
00333.png,neg,1,Man,white
00334.png,pos,0,Woman,white
00335.png,pos,0,Man,latino hispanic
00337.png,neg,0,Woman,white
00338.png,neutral,1,Woman,white
00340.png,pos,0,Woman,asian
00342.png,neutral,0,Woman,white
00344.png,pos,0,Woman,white
00345.png,pos,0,Woman,white
00348.png,pos,0,Man,latino hispanic
00350.png,neutral,0,Woman,white
00351.png,pos,0,Man,black
00352.png,pos,0,Woman,latino hispanic
00353.png,pos,1,Woman,white
00354.png,pos,1,Woman,latino hispanic
00357.png,neutral,0,Woman,asian
00358.png,pos,1,Man,black
00359.png,pos,1,Woman,white
00360.png,pos,0,Woman,asian
00361.png,pos,1,Man,latino hispanic
00363.png,pos,0,Man,latino hispanic
00366.png,pos,0,Woman,white
00367.png,neutral,1,Man,latino hispanic
00368.png,pos,0,Woman,white
00369.png,pos,0,Woman,white
00371.png,pos,1,Woman,asian
00372.png,pos,0,Woman,white
00373.png,pos,0,Woman,white
00374.png,neutral,0,Woman,white
00375.png,neutral,0,Woman,black
00376.png,neutral,0,Woman,latino hispanic
00380.png,pos,0,Woman,white
00384.png,neutral,0,Man,latino hispanic
00385.png,neutral,1,Woman,white
00389.png,neg,0,Man,white
00390.png,pos,0,Woman,asian
00393.png,pos,0,Woman,asian
00394.png,pos,1,Man,black
00397.png,pos,1,Man,latino hispanic
00399.png,neg,0,Woman,white
00403.png,neutral,0,Woman,asian
00405.png,pos,0,Woman,asian
00408.png,pos,0,Woman,white
00411.png,neutral,0,Woman,white
00412.png,neg,1,Man,white
00413.png,pos,1,Man,latino hispanic
00417.png,neutral,1,Woman,asian
00418.png,pos,0,Man,black
00422.png,pos,1,Woman,white
00425.png,neg,1,Man,white
00426.png,pos,0,Woman,white
00427.png,pos,0,Woman,white
00430.png,neg,1,Man,white
00432.png,neutral,0,Woman,asian
00433.png,pos,0,Woman,asian
00434.png,pos,0,Woman,white
00436.png,pos,0,Woman,white
00443.png,neutral,0,Woman,white
00445.png,pos,0,Woman,white
00447.png,neg,0,Man,white
00448.png,pos,0,Woman,asian
00453.png,pos,1,Woman,black
00455.png,pos,0,Man,latino hispanic
00456.png,pos,1,Man,black
00463.png,pos,0,Woman,white
00465.png,pos,0,Woman,white
00470.png,neutral,0,Man,latino hispanic
00472.png,pos,0,Man,black
00473.png,pos,1,Man,black
00474.png,neutral,0,Woman,white
00475.png,pos,0,Woman,white
00477.png,neutral,0,Woman,asian
00479.png,neutral,1,Man,latino hispanic
00481.png,neutral,0,Woman,white
00482.png,neutral,0,Man,asian
00486.png,pos,1,Woman,white
00488.png,neutral,0,Woman,asian
00490.png,neutral,0,Man,latino hispanic
00491.png,pos,0,Woman,black
00492.png,pos,0,Woman,white
00494.png,neg,1,Man,white
00496.png,pos,0,Woman,white
00497.png,neutral,0,Man,asian
00498.png,pos,0,Woman,white
00500.png,neg,1,Man,white
00501.png,pos,1,Woman,white
00505.png,pos,0,Woman,white
00506.png,pos,0,Man,latino hispanic
00507.png,pos,0,Man,asian
00512.png,pos,1,Woman,white
00513.png,neg,1,Man,asian
00515.png,pos,0,Woman,black
00516.png,pos,0,Man,latino hispanic
00517.png,neutral,0,Woman,asian
00518.png,pos,0,Woman,latino hispanic
00522.png,pos,1,Woman,asian
00525.png,pos,0,Woman,black
00528.png,neg,1,Man,white
00530.png,pos,0,Woman,white
00532.png,pos,0,Woman,white
00535.png,pos,1,Woman,white
00541.png,pos,0,Woman,white
00543.png,pos,0,Woman,latino hispanic
00544.png,neg,1,Woman,white
00545.png,pos,0,Woman,white
00547.png,neutral,0,Woman,white
00549.png,pos,1,Woman,white
00551.png,neg,0,Man,asian
00553.png,pos,0,Woman,white
00563.png,pos,0,Woman,white
00568.png,neg,0,Man,white
00571.png,neg,0,Man,white
00574.png,pos,0,Woman,asian
00576.png,neutral,0,Woman,white
00578.png,neg,0,Man,white
00579.png,neg,0,Woman,white
00583.png,pos,0,Man,latino hispanic
00586.png,pos,0,Woman,asian
00587.png,pos,0,Man,asian
00588.png,pos,0,Woman,asian
00589.png,neg,1,Man,white
00590.png,neutral,0,Woman,white
00592.png,neutral,0,Woman,white
00593.png,pos,0,Man,asian
00594.png,pos,1,Woman,latino hispanic
00595.png,pos,0,Woman,white
00596.png,neutral,1,Woman,white
00598.png,pos,0,Woman,black
00599.png,pos,1,Man,asian
00600.png,pos,0,Man,black
00601.png,pos,1,Woman,white
00602.png,pos,0,Woman,white
00604.png,pos,0,Woman,asian
00605.png,pos,0,Woman,white
00606.png,pos,0,Man,black
00607.png,pos,1,Woman,asian
00609.png,neg,1,Man,white
00612.png,neutral,0,Man,latino hispanic
00614.png,neg,0,Woman,white
00615.png,pos,0,Woman,white
00616.png,pos,0,Woman,white
00619.png,neg,0,Man,white
00621.png,pos,0,Woman,white
00622.png,pos,0,Woman,latino hispanic
00623.png,pos,0,Woman,white
00624.png,pos,0,Man,asian
00625.png,pos,1,Man,asian
00627.png,pos,0,Woman,asian
00628.png,neutral,0,Woman,white
00629.png,pos,0,Man,asian
00630.png,pos,0,Woman,white
00631.png,pos,0,Woman,asian
00633.png,pos,1,Man,asian
00634.png,neg,0,Man,white
00635.png,pos,0,Man,latino hispanic
00636.png,neg,0,Man,latino hispanic
00638.png,pos,0,Man,asian
00639.png,pos,0,Man,black
00641.png,neutral,1,Woman,white
00642.png,pos,0,Man,asian
00645.png,neg,1,Man,asian
00646.png,pos,1,Man,black
00650.png,pos,0,Woman,white
00651.png,pos,0,Woman,white
00652.png,pos,0,Man,asian
00654.png,pos,0,Woman,white
00655.png,neutral,0,Woman,white
00657.png,pos,0,Woman,white
00658.png,neutral,0,Woman,white
00659.png,pos,0,Woman,latino hispanic
00660.png,neg,1,Man,latino hispanic
00663.png,pos,0,Woman,black
00666.png,pos,0,Woman,white
00667.png,pos,1,Woman,white
00668.png,pos,1,Man,latino hispanic
00669.png,pos,0,Woman,white
00670.png,pos,0,Woman,white
00672.png,pos,0,Woman,white
00673.png,neutral,1,Woman,asian
00675.png,neg,0,Man,white
00676.png,pos,0,Man,latino hispanic
00677.png,pos,1,Woman,white
00681.png,neutral,0,Woman,latino hispanic
00684.png,pos,0,Woman,white
00685.png,neg,0,Woman,asian
00689.png,neg,0,Man,white
00690.png,neg,1,Man,white
00694.png,pos,0,Woman,asian
00695.png,neutral,0,Man,black
00698.png,pos,0,Woman,white
00699.png,pos,0,Woman,white
00700.png,neg,1,Woman,white
00702.png,pos,0,Man,latino hispanic
00703.png,pos,0,Woman,white
00704.png,pos,0,Man,black
00705.png,pos,0,Woman,white
00706.png,pos,0,Man,black
00707.png,pos,1,Woman,white
00708.png,pos,0,Woman,white
00709.png,neg,0,Woman,latino hispanic
00710.png,pos,0,Woman,asian
00712.png,pos,0,Woman,asian
00714.png,pos,0,Woman,white
00716.png,pos,1,Man,black
00717.png,pos,0,Woman,white
00719.png,neg,0,Man,white
00720.png,pos,0,Woman,white
00723.png,neg,1,Man,asian
00724.png,neutral,0,Woman,asian
00725.png,pos,0,Woman,white
00729.png,pos,0,Woman,white
00730.png,neutral,0,Woman,white
00733.png,neutral,0,Woman,asian
00734.png,neutral,0,Woman,asian
00735.png,pos,0,Woman,asian
00736.png,pos,0,Woman,white
00737.png,neutral,0,Man,latino hispanic
00740.png,neutral,1,Man,black
00741.png,pos,1,Woman,white
00742.png,pos,0,Woman,white
00743.png,pos,0,Woman,latino hispanic
00744.png,pos,0,Woman,white
00745.png,neg,0,Man,asian
00747.png,pos,1,Woman,asian
00750.png,pos,0,Woman,asian
00751.png,pos,0,Woman,white
00752.png,pos,0,Woman,white
00753.png,pos,1,Man,black
00754.png,pos,0,Man,latino hispanic
00755.png,pos,0,Woman,white
00757.png,pos,1,Woman,asian
00759.png,neutral,1,Woman,black
00760.png,pos,1,Man,asian
00761.png,pos,0,Man,asian
00762.png,neg,1,Man,asian
00763.png,pos,1,Woman,asian
00766.png,pos,1,Man,asian
00767.png,neg,1,Man,asian
00768.png,pos,0,Man,latino hispanic
00769.png,neutral,1,Man,asian
00771.png,neutral,0,Woman,white
00775.png,pos,0,Woman,white
00777.png,pos,0,Woman,white
00778.png,pos,1,Woman,white
00780.png,pos,0,Woman,white
00781.png,pos,0,Woman,latino hispanic
00782.png,pos,0,Woman,latino hispanic
00784.png,pos,0,Man,latino hispanic
00785.png,pos,0,Woman,black
00787.png,pos,1,Woman,white
00788.png,pos,1,Woman,white
00790.png,neutral,0,Man,asian
00792.png,pos,0,Woman,white
00793.png,pos,0,Woman,black
00794.png,pos,0,Man,asian
00797.png,pos,0,Woman,white
00798.png,neutral,0,Woman,white
00799.png,pos,0,Woman,white
00803.png,neg,0,Man,white
00804.png,neutral,1,Man,asian
00805.png,pos,0,Woman,white
00806.png,neutral,0,Man,latino hispanic
00807.png,pos,0,Woman,asian
00810.png,neutral,0,Man,latino hispanic
00811.png,pos,1,Man,asian
00813.png,neutral,0,Woman,asian
00814.png,neutral,0,Woman,white
00815.png,pos,0,Man,latino hispanic
00816.png,neutral,0,Woman,white
00817.png,pos,0,Woman,white
00819.png,pos,1,Woman,white
00821.png,pos,0,Woman,latino hispanic
00822.png,pos,0,Woman,white
00823.png,pos,0,Woman,white
00824.png,pos,0,Woman,white
00826.png,pos,0,Woman,white
00827.png,neutral,0,Man,asian
00828.png,neg,0,Woman,latino hispanic
00830.png,pos,1,Woman,white
00832.png,pos,1,Man,black
00833.png,pos,0,Woman,latino hispanic
00834.png,neutral,1,Woman,white
00836.png,pos,0,Woman,white
00837.png,neg,1,Man,latino hispanic
00838.png,neutral,0,Man,asian
00840.png,neutral,1,Woman,latino hispanic
00842.png,neutral,0,Woman,white
00843.png,pos,0,Woman,white
00844.png,pos,0,Woman,latino hispanic
00845.png,pos,1,Man,black
00846.png,neutral,1,Man,asian
00847.png,neutral,1,Woman,white
00849.png,pos,0,Woman,white
00851.png,neutral,0,Woman,white
00852.png,neutral,0,Man,latino hispanic
00853.png,pos,0,Woman,black
00855.png,pos,1,Man,latino hispanic
00856.png,neg,1,Man,latino hispanic
00857.png,pos,0,Woman,latino hispanic
00858.png,neutral,0,Man,asian
00861.png,pos,0,Woman,asian
00862.png,neg,1,Man,asian
00863.png,pos,0,Woman,white
00864.png,neutral,0,Man,asian
00865.png,pos,0,Man,latino hispanic
00866.png,pos,0,Man,asian
00869.png,pos,0,Woman,white
00870.png,neutral,1,Man,latino hispanic
00871.png,pos,1,Man,asian
00872.png,neg,0,Man,white
00873.png,pos,1,Man,asian
00875.png,neutral,0,Man,latino hispanic
00876.png,pos,0,Woman,white
00877.png,pos,0,Woman,white
00879.png,neutral,0,Man,latino hispanic
00881.png,neutral,0,Man,latino hispanic
00882.png,pos,0,Woman,white
00883.png,neg,0,Man,white
00884.png,pos,0,Man,asian
00886.png,neg,0,Man,white
00888.png,pos,0,Woman,white
00889.png,neutral,0,Woman,asian
00890.png,pos,0,Man,asian
00891.png,pos,0,Woman,white
00893.png,neutral,1,Man,asian
00894.png,pos,1,Woman,latino hispanic
00896.png,pos,0,Man,latino hispanic
00897.png,neutral,1,Man,asian
00899.png,pos,0,Woman,asian
00900.png,pos,1,Woman,white
00901.png,neutral,0,Woman,white
00902.png,neutral,0,Woman,white
00904.png,pos,0,Man,latino hispanic
00905.png,neg,0,Woman,latino hispanic
00906.png,pos,1,Man,asian
00907.png,neutral,0,Woman,asian
00909.png,pos,0,Man,latino hispanic
00910.png,neg,0,Woman,white
00911.png,neg,0,Man,white
00912.png,neg,1,Man,white
00913.png,pos,0,Woman,white
00914.png,pos,0,Woman,white
00915.png,neutral,0,Man,asian
00917.png,pos,1,Woman,latino hispanic
00919.png,pos,1,Woman,white
00920.png,pos,0,Woman,asian
00921.png,pos,0,Woman,white
00922.png,neutral,1,Man,asian
00923.png,pos,1,Woman,asian
00924.png,pos,0,Man,latino hispanic
00925.png,pos,1,Man,asian
00927.png,neutral,0,Woman,asian
00928.png,pos,0,Woman,white
00929.png,neg,0,Man,white
00930.png,pos,1,Man,asian
00931.png,pos,0,Man,latino hispanic
00932.png,neutral,0,Man,asian
00933.png,neutral,0,Man,asian
00935.png,pos,0,Man,latino hispanic
00937.png,pos,1,Woman,white
00938.png,neutral,1,Man,asian
00939.png,neg,1,Man,white
00940.png,pos,0,Woman,asian
00942.png,pos,0,Man,asian
00943.png,neg,0,Woman,white
00944.png,neutral,0,Woman,latino hispanic
00945.png,pos,0,Woman,asian
00947.png,pos,0,Man,asian
00949.png,pos,1,Man,asian
00950.png,pos,0,Woman,white
00951.png,pos,1,Woman,asian
00953.png,neutral,0,Woman,latino hispanic
00954.png,pos,1,Woman,white
00955.png,pos,0,Man,black
00956.png,pos,0,Woman,white
00958.png,pos,1,Man,asian
00960.png,neg,1,Man,white
00961.png,neg,0,Man,white
00962.png,neutral,1,Woman,asian
00963.png,neg,1,Man,latino hispanic
00965.png,pos,1,Man,asian
00967.png,pos,0,Woman,white
00968.png,pos,0,Woman,asian
00969.png,neg,0,Man,latino hispanic
00970.png,pos,1,Woman,white
00971.png,pos,0,Woman,white
00972.png,pos,0,Man,asian
00974.png,neutral,0,Man,asian
00975.png,pos,0,Woman,asian
00976.png,pos,0,Woman,white
00977.png,pos,0,Woman,white
00978.png,pos,0,Man,asian
00981.png,pos,0,Woman,white
00983.png,neutral,0,Man,asian
00984.png,pos,0,Woman,black
00985.png,pos,0,Woman,latino hispanic
00987.png,neg,0,Man,white
00988.png,pos,0,Man,latino hispanic
00989.png,neutral,0,Woman,black
00990.png,pos,0,Woman,white
00992.png,pos,1,Man,latino hispanic
00993.png,pos,0,Man,asian
00995.png,pos,0,Man,latino hispanic
00997.png,neutral,1,Man,asian
00999.png,pos,0,Woman,white
01001.png,pos,0,Woman,asian
01002.png,pos,1,Woman,white
01003.png,pos,0,Man,latino hispanic
01004.png,pos,0,Woman,white
01006.png,neutral,0,Woman,white
01007.png,pos,0,Woman,white
01008.png,pos,0,Man,latino hispanic
01011.png,neutral,0,Woman,white
01012.png,pos,1,Woman,asian
01013.png,neg,0,Woman,white
01016.png,pos,1,Woman,white
01017.png,pos,1,Woman,white
01018.png,neutral,1,Man,asian
01019.png,neutral,0,Woman,latino hispanic
01022.png,pos,0,Woman,white
01023.png,pos,0,Woman,white
01024.png,neutral,1,Woman,white
01029.png,pos,0,Woman,white
01030.png,pos,0,Woman,asian
01031.png,pos,0,Woman,black
01034.png,neg,0,Woman,white
01035.png,neg,1,Man,latino hispanic
01037.png,pos,0,Woman,white
01040.png,pos,1,Man,latino hispanic
01041.png,pos,0,Woman,white
01042.png,neg,1,Man,white
01043.png,pos,0,Woman,white
01044.png,pos,0,Woman,asian
01045.png,neg,0,Man,white
01046.png,pos,1,Man,asian
01047.png,neutral,0,Man,asian
01049.png,pos,0,Man,asian
01050.png,pos,0,Man,asian
01051.png,neutral,0,Man,black
01054.png,pos,1,Woman,asian
01055.png,pos,0,Woman,white
01056.png,pos,0,Man,latino hispanic
01058.png,pos,0,Man,asian
01059.png,neutral,0,Man,black
01060.png,pos,1,Man,asian
01061.png,pos,1,Man,latino hispanic
01062.png,pos,1,Man,black
01063.png,neg,0,Woman,asian
01065.png,pos,0,Woman,asian
01066.png,neutral,0,Man,asian
01068.png,pos,1,Man,black
01069.png,pos,1,Man,latino hispanic
01071.png,pos,0,Man,latino hispanic
01072.png,pos,0,Woman,white
01073.png,pos,0,Man,asian
01074.png,pos,0,Man,black
01075.png,pos,1,Man,asian
01076.png,neg,0,Man,white
01077.png,pos,1,Woman,white
01079.png,neg,1,Man,white
01080.png,neutral,0,Woman,white
01081.png,pos,0,Man,latino hispanic
01084.png,neg,0,Man,black
01086.png,pos,0,Woman,white
01087.png,neg,0,Man,white
01088.png,pos,0,Man,black
01089.png,neutral,0,Woman,white
01090.png,pos,0,Woman,white
01093.png,pos,0,Woman,white
01095.png,pos,0,Man,asian
01096.png,neg,0,Man,white
01097.png,pos,0,Man,asian
01101.png,pos,1,Man,asian
01102.png,neutral,0,Woman,asian
01103.png,pos,0,Man,latino hispanic
01104.png,pos,0,Woman,black
01106.png,neutral,1,Woman,asian
01107.png,neg,1,Man,asian
01108.png,pos,1,Woman,white
01109.png,pos,0,Man,latino hispanic
01110.png,neg,0,Man,asian
01111.png,neg,0,Man,white
01112.png,pos,0,Man,latino hispanic
01114.png,neutral,0,Man,asian
01116.png,neutral,0,Man,latino hispanic
01117.png,neutral,0,Man,black
01118.png,pos,1,Woman,asian
01119.png,pos,1,Woman,asian
01121.png,pos,0,Man,latino hispanic
01122.png,pos,0,Man,asian
01126.png,pos,0,Man,asian
01128.png,neg,1,Man,asian
01131.png,neutral,1,Man,asian
01132.png,pos,1,Woman,asian
01134.png,pos,0,Woman,white
01136.png,pos,0,Woman,white
01139.png,pos,0,Woman,white
01142.png,pos,0,Man,latino hispanic
01144.png,pos,0,Woman,white
01145.png,pos,0,Man,latino hispanic
01146.png,pos,0,Woman,latino hispanic
01147.png,neg,1,Woman,white
01148.png,neg,0,Woman,asian
01149.png,pos,0,Woman,white
01150.png,neg,0,Woman,white
01151.png,neg,1,Man,white
01157.png,neg,0,Woman,white
01158.png,pos,0,Man,asian
01160.png,neutral,0,Man,asian
01163.png,neg,1,Man,white
01168.png,pos,0,Man,asian
01170.png,pos,0,Man,latino hispanic
01171.png,neutral,0,Man,asian
01174.png,pos,1,Man,black
01177.png,pos,0,Man,black
01179.png,neutral,0,Man,black
01182.png,neutral,0,Man,asian
01183.png,neg,0,Man,asian
01185.png,neg,0,Man,white
01186.png,neutral,1,Man,black
01192.png,neutral,0,Woman,latino hispanic
01193.png,pos,0,Man,asian
01196.png,pos,1,Man,asian
01197.png,pos,0,Man,latino hispanic
01200.png,neutral,0,Man,asian
01204.png,pos,0,Man,asian
01205.png,pos,0,Woman,latino hispanic
01206.png,neutral,0,Man,asian
01207.png,pos,0,Woman,latino hispanic
01211.png,neutral,0,Man,asian
01212.png,neutral,1,Woman,latino hispanic
01214.png,neutral,0,Man,asian
01216.png,neutral,0,Man,asian
01217.png,neutral,0,Man,black
01221.png,pos,0,Woman,latino hispanic
01222.png,neg,1,Woman,white
01224.png,pos,0,Man,latino hispanic
01225.png,neutral,0,Man,latino hispanic
01226.png,neutral,1,Man,asian
01229.png,pos,0,Woman,latino hispanic
01232.png,neg,0,Man,white
01234.png,neg,1,Man,white
01238.png,pos,0,Man,asian
01242.png,neg,1,Man,white
01244.png,pos,0,Man,latino hispanic
01247.png,pos,1,Man,latino hispanic
01248.png,pos,1,Man,latino hispanic
01250.png,neutral,0,Man,asian
01256.png,neg,1,Man,latino hispanic
01260.png,pos,0,Man,asian
01263.png,pos,1,Man,asian
01267.png,pos,0,Man,asian
01269.png,neg,1,Man,white
01271.png,pos,0,Woman,latino hispanic
01272.png,pos,0,Man,asian
01273.png,neg,0,Man,asian
01275.png,neg,0,Woman,white
01276.png,neg,1,Man,latino hispanic
01282.png,neg,1,Woman,asian
01287.png,neg,1,Man,white
01290.png,pos,0,Man,asian
01291.png,neg,0,Woman,white
01293.png,neutral,0,Woman,black
01295.png,neg,0,Woman,asian
01301.png,neutral,1,Man,black
01303.png,neg,0,Woman,white
01304.png,neutral,0,Man,asian
01306.png,pos,0,Woman,latino hispanic
01308.png,pos,1,Man,latino hispanic
01310.png,neg,0,Woman,latino hispanic
01311.png,pos,0,Man,asian
01312.png,neg,1,Man,asian
01314.png,neutral,0,Man,asian
01315.png,neg,0,Woman,white
01321.png,neutral,0,Man,asian
01322.png,pos,1,Woman,white
01323.png,neutral,0,Man,asian
01325.png,pos,0,Man,asian
01326.png,pos,1,Woman,asian
01327.png,neutral,0,Man,asian
01328.png,pos,0,Woman,latino hispanic
01329.png,pos,0,Woman,white
01331.png,pos,0,Man,asian
01334.png,neg,1,Woman,latino hispanic
01337.png,neutral,0,Man,asian
01338.png,pos,0,Woman,black
01340.png,neg,0,Woman,white
01341.png,neutral,1,Man,asian
01342.png,pos,1,Man,asian
01343.png,neg,1,Woman,white
01345.png,neg,1,Man,white
01354.png,neg,1,Man,white
01359.png,neg,1,Man,white
01360.png,neg,0,Man,asian
01362.png,pos,0,Man,black
01363.png,neg,1,Man,white
01371.png,pos,0,Man,asian
01374.png,neg,1,Man,white
01375.png,pos,1,Man,asian
01378.png,pos,0,Man,latino hispanic
01379.png,neg,0,Woman,white
01380.png,pos,0,Man,asian
01385.png,pos,1,Man,asian
01388.png,pos,0,Man,asian
01389.png,neutral,0,Man,latino hispanic
01390.png,pos,0,Woman,latino hispanic
01396.png,pos,1,Man,asian
01400.png,neg,1,Man,white
01401.png,pos,1,Man,black
01403.png,neg,0,Man,white
01408.png,neutral,1,Man,black
01410.png,neutral,1,Man,asian
01411.png,pos,1,Woman,black
01415.png,pos,1,Man,asian
01417.png,neutral,0,Man,latino hispanic
01418.png,pos,1,Man,latino hispanic
01421.png,neutral,0,Man,black
01422.png,neg,1,Woman,white
01423.png,neutral,1,Man,black
01425.png,neutral,1,Man,latino hispanic
01426.png,neutral,1,Man,latino hispanic
01428.png,pos,0,Man,asian
01435.png,pos,1,Woman,latino hispanic
01437.png,pos,1,Man,latino hispanic
01439.png,neg,No face detected,Woman,asian
01445.png,pos,1,Man,asian
01446.png,neutral,0,Man,asian
01447.png,pos,1,Woman,black
01448.png,neg,1,Man,latino hispanic
01452.png,pos,0,Woman,black
01453.png,pos,0,Man,asian
01456.png,pos,0,Man,asian
01462.png,neutral,1,Man,asian
01465.png,neutral,0,Man,asian
01467.png,pos,0,Man,asian
01468.png,pos,0,Man,latino hispanic
01470.png,neutral,1,Man,asian
01471.png,pos,0,Man,asian
01475.png,neg,0,Man,white
01481.png,pos,0,Man,asian
01484.png,neg,0,Man,latino hispanic
01485.png,pos,1,Woman,latino hispanic
01490.png,neutral,1,Man,asian
01493.png,neutral,0,Man,latino hispanic
01495.png,pos,0,Woman,latino hispanic
01499.png,neutral,0,Man,asian
01503.png,pos,0,Man,black
