Name,FacialExp
999,happy
1000,neutral
1001,happy
1002,happy
1003,happy
1004,happy
1005,happy
1006,neutral
1007,happy
1008,happy
1009,neutral
1010,neutral
1011,neutral
1012,happy
1013,sad
1014,happy
1015,happy
1016,happy
1017,happy
1018,neutral
1019,neutral
1020,neutral
1021,happy
1022,happy
1023,happy
1024,neutral
1025,happy
1026,happy
1027,neutral
1028,happy
1029,happy
1030,happy
1031,happy
1032,happy
1033,happy
1034,sad
1035,angry
1036,happy
1037,happy
1038,happy
1039,neutral
1040,happy
1041,happy
1042,angry
1043,happy
1044,happy
1045,angry
1046,happy
1047,neutral
1048,neutral
1049,happy
1050,happy
1051,neutral
1052,happy
1053,neutral
1054,happy
1055,happy
1056,happy
1057,happy
1058,happy
1059,neutral
1060,happy
1061,happy
1062,happy
1063,angry
1064,happy
1065,happy
1066,neutral
1067,happy
1068,happy
1069,happy
1070,happy
1071,happy
1072,happy
1073,happy
1074,happy
1075,happy
1076,sad
1077,surprise
1078,neutral
1079,angry
1080,neutral
1081,happy
1082,happy
1083,happy
1084,angry
1085,happy
1086,happy
1087,sad
1088,happy
1089,neutral
1090,happy
1091,happy
1092,happy
1093,happy
1094,happy
1095,happy
1096,sad
1097,happy
1098,happy
1099,happy
1100,happy
1101,happy
1102,neutral
1103,happy
1104,happy
1105,happy
1106,neutral
1107,angry
1108,happy
1109,happy
1110,sad
1111,fear
1112,surprise
1113,happy
1114,neutral
1115,happy
1116,neutral
1117,neutral
1118,happy
1119,happy
1120,happy
1121,happy
1122,happy
1123,happy
1124,happy
1125,happy
1126,happy
1127,happy
1128,angry
1129,happy
1130,happy
1131,neutral
1132,happy
1133,happy
1134,happy
1135,happy
1136,happy
1137,happy
1138,happy
1139,happy
1140,happy
1141,neutral
1142,happy
1143,neutral
1144,happy
1145,happy
1146,happy
1147,angry
1148,sad
1149,happy
1150,sad
1151,fear
1152,happy
1153,happy
1154,neutral
1155,happy
1156,happy
1157,sad
1158,happy
1159,surprise
1160,neutral
1161,happy
1162,happy
1163,angry
1164,neutral
1165,happy
1166,neutral
1167,happy
1168,happy
1169,neutral
1170,happy
1171,neutral
1172,happy
1173,neutral
1174,happy
1175,neutral
1176,happy
1177,happy
1178,happy
1179,neutral
1180,neutral
1181,neutral
1182,neutral
1183,angry
1184,happy
1185,angry
1186,neutral
1187,happy
1188,happy
1189,neutral
1190,happy
1191,happy
1192,neutral
1193,happy
1194,neutral
1195,happy
1196,happy
1197,happy
1198,happy
1199,happy
1200,neutral
1201,happy
1202,happy
1203,surprise
1204,happy
1205,happy
1206,neutral
1207,happy
1208,neutral
1209,happy
1210,happy
1211,neutral
1212,neutral
1213,neutral
1214,neutral
1215,happy
1216,neutral
1217,neutral
1218,happy
1219,happy
1220,happy
1221,happy
1222,fear
1223,happy
1224,happy
1225,neutral
1226,neutral
1227,happy
1228,neutral
1229,happy
1230,neutral
1231,happy
1232,sad
1233,happy
1234,fear
1235,neutral
1236,happy
1237,neutral
1238,happy
1239,neutral
1240,neutral
1241,neutral
1242,angry
1243,happy
1244,happy
1245,happy
1246,happy
1247,happy
1248,happy
1249,happy
1250,neutral
1251,neutral
1252,happy
1253,happy
1254,neutral
1255,neutral
1256,fear
1257,neutral
1258,neutral
1259,happy
1260,happy
1261,happy
1262,neutral
1263,happy
1264,happy
1265,happy
1266,happy
1267,happy
1268,neutral
1269,fear
1270,happy
1271,happy
1272,happy
1273,angry
1274,neutral
1275,angry
1276,angry
1277,happy
1278,happy
1279,neutral
1280,happy
1281,happy
1282,sad
1283,happy
1284,happy
1285,happy
1286,neutral
1287,angry
1288,neutral
1289,neutral
1290,happy
1291,angry
1292,happy
1293,neutral
1294,neutral
1295,fear
1296,neutral
1297,happy
1298,happy
1299,happy
1300,neutral
1301,neutral
1302,happy
1303,angry
1304,neutral
1305,happy
1306,happy
1307,happy
1308,happy
1309,happy
1310,fear
1311,happy
1312,angry
1313,happy
1314,neutral
1315,sad
1316,happy
1317,neutral
1318,happy
1319,happy
1320,happy
1321,neutral
1322,happy
1323,neutral
1324,happy
1325,happy
1326,happy
1327,neutral
1328,happy
1329,happy
1330,happy
1331,happy
1332,happy
1333,happy
1334,sad
1335,happy
1336,neutral
1337,neutral
1338,happy
1339,happy
1340,fear
1341,neutral
1342,happy
1343,angry
1344,happy
1345,angry
1346,neutral
1347,happy
1348,happy
1349,neutral
1350,neutral
1351,happy
1352,neutral
1353,happy
1354,sad
1355,neutral
1356,neutral
1357,happy
1358,happy
1359,fear
1360,sad
1361,happy
1362,happy
1363,sad
1364,happy
1365,neutral
1366,neutral
1367,happy
1368,happy
1369,neutral
1370,happy
1371,happy
1372,happy
1373,happy
1374,sad
1375,happy
1376,happy
1377,happy
1378,happy
1379,fear
1380,happy
1381,happy
1382,neutral
1383,happy
1384,neutral
1385,happy
1386,happy
1387,happy
1388,happy
1389,neutral
1390,happy
1391,happy
1392,happy
1393,neutral
1394,neutral
1395,happy
1396,happy
1397,neutral
1398,happy
1399,happy
1400,angry
1401,happy
1402,neutral
1403,sad
1404,neutral
1405,neutral
1406,happy
1407,neutral
1408,neutral
1409,neutral
1410,neutral
1411,happy
1412,happy
1413,happy
1414,happy
1415,happy
1416,neutral
1417,neutral
1418,happy
1419,happy
1420,happy
1421,neutral
1422,fear
1423,neutral
1424,happy
1425,neutral
1426,neutral
1427,happy
1428,happy
1429,happy
1430,happy
1431,happy
1432,neutral
1433,happy
1434,happy
1435,happy
1436,happy
1437,happy
1438,happy
1439,fear
1440,happy
1441,neutral
1442,happy
1443,happy
1444,happy
1445,happy
1446,neutral
1447,happy
1448,angry
1449,happy
1450,happy
1451,happy
1452,happy
1453,surprise
1454,happy
1455,neutral
1456,surprise
1457,happy
1458,happy
1459,neutral
1460,happy
1461,happy
1462,neutral
1463,happy
1464,surprise
1465,neutral
1466,happy
1467,happy
1468,happy
1469,neutral
1470,neutral
1471,happy
1472,happy
1473,happy
1474,happy
1475,angry
1476,happy
1477,happy
1478,neutral
1479,happy
1480,neutral
1481,happy
1482,happy
1483,happy
1484,angry
1485,happy
1486,happy
1487,neutral
1488,happy
1489,happy
1490,neutral
1491,happy
1492,happy
1493,neutral
1494,happy
1495,happy
1496,neutral
1497,happy
1498,happy
1499,neutral
1500,neutral
1501,happy
1502,neutral
1503,happy
1504,happy
1505,happy
1506,happy
1507,happy
1508,angry
1509,neutral
1510,neutral
1511,happy
1512,happy
1513,happy
1514,happy
1515,happy
1516,happy
1517,happy
1518,happy
1519,neutral
1520,neutral
1521,happy
1522,neutral
1523,happy
1524,neutral
1525,happy
1526,happy
1527,neutral
1528,neutral
1529,happy
1530,happy
1531,happy
1532,happy
1533,happy
1534,happy
1535,happy
1536,neutral
1537,happy
1538,neutral
1539,happy
1540,happy
1541,neutral
1542,neutral
1543,happy
1544,happy
1545,angry
1546,happy
1547,happy
1548,neutral
1549,neutral
1550,happy
1551,surprise
1552,fear
1553,happy
1554,angry
1555,happy
1556,happy
1557,happy
1558,neutral
1559,neutral
1560,neutral
1561,happy
1562,happy
1563,happy
1564,angry
1565,neutral
1566,happy
1567,happy
1568,happy
1569,neutral
1570,neutral
1571,happy
1572,angry
1573,sad
1574,happy
1575,neutral
1576,happy
1577,happy
1578,neutral
1579,happy
1580,happy
1581,happy
1582,happy
1583,neutral
1584,happy
1585,sad
1586,happy
1587,neutral
1588,happy
1589,neutral
1590,happy
1591,neutral
1592,happy
1593,happy
1594,happy
1595,happy
1596,happy
1597,angry
1598,happy
1599,happy
1600,happy
1601,happy
1602,happy
1603,happy
1604,happy
1605,happy
1606,happy
1607,happy
1608,happy
1609,neutral
1610,happy
1611,neutral
1612,happy
1613,neutral
1614,happy
1615,surprise
1616,happy
1617,happy
1618,happy
1619,happy
1620,neutral
1621,happy
1622,happy
1623,happy
1624,neutral
1625,happy
1626,happy
1627,happy
1628,happy
1629,fear
1630,happy
1631,happy
1632,happy
1633,happy
1634,happy
1635,happy
1636,neutral
1637,happy
1638,happy
1639,happy
1640,happy
1641,surprise
1642,happy
1643,neutral
1644,neutral
1645,happy
1646,happy
1647,happy
1648,neutral
1649,happy
1650,neutral
1651,happy
1652,neutral
1653,neutral
1654,happy
1655,happy
1656,happy
1657,happy
1658,happy
1659,happy
1660,happy
1661,angry
1662,sad
1663,happy
1664,happy
1665,happy
1666,happy
1667,happy
1668,neutral
1669,happy
1670,neutral
1671,happy
1672,happy
1673,happy
1674,sad
1675,happy
1676,happy
1677,neutral
1678,happy
1679,neutral
1680,happy
1681,happy
1682,happy
1683,happy
1684,happy
1685,happy
1686,sad
1687,happy
1688,happy
1689,angry
1690,neutral
1691,sad
1692,neutral
1693,neutral
1694,happy
1695,happy
1696,angry
1697,happy
1698,neutral
1699,angry
1700,neutral
1701,neutral
1702,happy
1703,neutral
1704,happy
1705,neutral
1706,neutral
1707,happy
1708,sad
1709,neutral
1710,happy
1711,happy
1712,sad
1713,happy
1714,happy
1715,neutral
1716,happy
1717,neutral
1718,sad
1719,happy
1720,neutral
1721,neutral
1722,happy
1723,happy
1724,angry
1725,happy
1726,neutral
1727,angry
1728,happy
1729,happy
1730,neutral
1731,happy
1732,happy
1733,neutral
1734,happy
1735,happy
1736,neutral
1737,happy
1738,happy
1739,happy
1740,happy
1741,neutral
1742,neutral
1743,happy
1744,happy
1745,happy
1746,happy
1747,happy
1748,happy
1749,angry
1750,happy
1751,happy
1752,happy
1753,neutral
1754,neutral
1755,happy
1756,neutral
1757,sad
1758,neutral
1759,happy
1760,happy
1761,neutral
1762,happy
1763,neutral
1764,happy
1765,happy
1766,happy
1767,neutral
1768,happy
1769,happy
1770,neutral
1771,happy
1772,neutral
1773,happy
1774,neutral
1775,neutral
1776,neutral
1777,neutral
1778,happy
1779,happy
1780,happy
1781,happy
1782,happy
1783,happy
1784,neutral
1785,happy
1786,neutral
1787,neutral
1788,angry
1789,happy
1790,happy
1791,happy
1792,happy
1793,happy
1794,neutral
1795,happy
1796,angry
1797,happy
1798,neutral
1799,neutral
1800,happy
1801,happy
1802,happy
1803,happy
1804,happy
1805,happy
1806,neutral
1807,angry
1808,neutral
1809,happy
1810,neutral
1811,neutral
1812,happy
1813,happy
1814,angry
1815,happy
1816,fear
1817,happy
1818,neutral
1819,happy
1820,happy
1821,neutral
1822,fear
1823,fear
1824,happy
1825,neutral
1826,happy
1827,happy
1828,neutral
1829,neutral
1830,happy
1831,angry
1832,neutral
1833,angry
1834,neutral
1835,happy
1836,neutral
1837,neutral
1838,happy
1839,sad
1840,angry
1841,happy
1842,happy
1843,happy
1844,happy
1845,happy
1846,happy
1847,angry
1848,happy
1849,happy
1850,happy
1851,angry
1852,happy
1853,happy
1854,happy
1855,happy
1856,happy
1857,happy
1858,neutral
1859,happy
1860,happy
1861,happy
1862,angry
1863,happy
1864,happy
1865,happy
1866,happy
1867,happy
1868,happy
1869,happy
1870,neutral
1871,happy
1872,happy
1873,happy
1874,happy
1875,happy
1876,neutral
1877,happy
1878,neutral
1879,neutral
1880,neutral
1881,neutral
1882,neutral
1883,happy
1884,happy
1885,happy
1886,happy
1887,happy
1888,happy
1889,happy
1890,neutral
1891,neutral
1892,happy
1893,happy
1894,happy
1895,neutral
1896,neutral
1897,happy
1898,happy
1899,happy
1900,happy
1901,happy
1902,happy
1903,angry
1904,happy
1905,happy
1906,happy
1907,neutral
1908,happy
1909,happy
1910,happy
1911,happy
1912,sad
1913,neutral
1914,happy
1915,happy
1916,surprise
1917,neutral
1918,happy
1919,surprise
1920,neutral
1921,happy
1922,happy
1923,happy
1924,happy
1925,happy
1926,neutral
1927,happy
1928,happy
1929,neutral
1930,happy
1931,neutral
1932,neutral
1933,happy
1934,surprise
1935,happy
1936,sad
1937,happy
1938,happy
1939,happy
1940,happy
1941,happy
1942,happy
1943,happy
1944,happy
1945,happy
1946,neutral
1947,happy
1948,happy
1949,neutral
1950,angry
1951,sad
1952,happy
1953,happy
1954,happy
1955,happy
1956,fear
1957,happy
1958,happy
1959,happy
1960,surprise
1961,happy
1962,happy
1963,happy
1964,happy
1965,happy
1966,neutral
1967,neutral
1968,neutral
1969,neutral
1970,happy
1971,happy
1972,happy
1973,surprise
1974,happy
1975,happy
1976,happy
1977,happy
1978,neutral
1979,happy
1980,happy
1981,happy
1982,angry
1983,happy
1984,happy
1985,neutral
1986,happy
1987,happy
1988,neutral
1989,happy
1990,neutral
1991,happy
1992,happy
1993,happy
1994,happy
1995,happy
1996,neutral
1997,fear
1998,happy
1999,happy
2000,happy
2001,happy
2002,happy
2003,happy
2004,happy
2005,happy
2006,surprise
2007,neutral
2008,happy
2009,sad
2010,sad
2011,neutral
2012,angry
2013,happy
2014,sad
2015,happy
2016,happy
2017,happy
2018,happy
2019,neutral
2020,happy
2021,happy
2022,surprise
2023,happy
2024,happy
2025,happy
2026,happy
2027,angry
2028,happy
2029,neutral
2030,happy
2031,angry
2032,neutral
2033,neutral
2034,neutral
2035,neutral
2036,happy
2037,happy
2038,neutral
2039,happy
2040,happy
2041,happy
2042,happy
2043,happy
2044,neutral
2045,happy
2046,happy
2047,happy
2048,happy
2049,neutral
2050,happy
2051,angry
2052,happy
2053,happy
2054,happy
2055,neutral
2056,angry
2057,neutral
2058,happy
2059,happy
2060,angry
2061,happy
2062,happy
2063,happy
2064,neutral
2065,happy
2066,sad
2067,sad
2068,happy
2069,happy
2070,happy
2071,happy
2072,neutral
2073,happy
2074,happy
2075,neutral
2076,happy
2077,happy
2078,happy
2079,happy
2080,happy
2081,neutral
2082,neutral
2083,happy
2084,happy
2085,happy
2086,happy
2087,happy
2088,neutral
2089,surprise
2090,happy
2091,neutral
2092,neutral
2093,angry
2094,neutral
2095,happy
2096,happy
2097,happy
2098,neutral
2099,happy
2100,neutral
2101,neutral
2102,angry
2103,neutral
2104,happy
2105,happy
2106,happy
2107,happy
2108,happy
2109,happy
2110,angry
2111,happy
2112,happy
2113,happy
2114,happy
2115,happy
2116,neutral
2117,neutral
2118,happy
2119,angry
2120,neutral
2121,happy
2122,neutral
2123,happy
2124,neutral
2125,happy
2126,neutral
2127,neutral
2128,happy
2129,neutral
2130,angry
2131,happy
2132,happy
2133,neutral
2134,happy
2135,sad
2136,happy
2137,neutral
2138,happy
2139,happy
2140,happy
2141,happy
2142,neutral
2143,angry
2144,neutral
2145,angry
2146,happy
2147,happy
2148,angry
2149,neutral
2150,neutral
2151,happy
2152,neutral
2153,happy
2154,happy
2155,neutral
2156,happy
2157,happy
2158,happy
2159,neutral
2160,happy
2161,neutral
2162,happy
2163,happy
2164,happy
2165,neutral
2166,happy
2167,neutral
2168,happy
2169,neutral
2170,happy
2171,sad
2172,happy
2173,neutral
2174,angry
2175,happy
2176,neutral
2177,happy
2178,neutral
2179,happy
2180,happy
2181,happy
2182,happy
2183,angry
2184,happy
2185,happy
2186,happy
2187,happy
2188,happy
2189,happy
2190,angry
2191,happy
2192,fear
2193,happy
2194,neutral
2195,angry
2196,sad
2197,angry
2198,happy
2199,happy
2200,happy
2201,happy
2202,happy
2203,fear
2204,neutral
2205,happy
2206,happy
2207,happy
2208,happy
2209,neutral
2210,happy
2211,happy
2212,happy
2213,happy
2214,angry
2215,happy
2216,happy
2217,fear
2218,neutral
2219,happy
2220,happy
2221,happy
2222,neutral
2223,happy
2224,happy
2225,surprise
2226,happy
2227,neutral
2228,neutral
2229,happy
2230,happy
2231,sad
2232,happy
2233,happy
2234,happy
2235,happy
2236,happy
2237,happy
2238,happy
2239,happy
2240,happy
2241,angry
2242,neutral
2243,happy
2244,happy
2245,happy
2246,happy
2247,happy
2248,neutral
2249,happy
2250,happy
2251,neutral
2252,happy
2253,happy
2254,happy
2255,happy
2256,surprise
2257,happy
2258,neutral
2259,neutral
2260,happy
2261,happy
2262,neutral
2263,happy
2264,happy
2265,happy
2266,happy
2267,angry
2268,happy
2269,happy
2270,sad
2271,neutral
2272,happy
2273,neutral
2274,sad
2275,neutral
2276,neutral
2277,neutral
2278,happy
2279,happy
2280,happy
2281,happy
2282,happy
2283,sad
2284,happy
2285,neutral
2286,happy
2287,neutral
2288,happy
2289,happy
2290,happy
2291,happy
2292,happy
2293,happy
2294,happy
2295,happy
2296,happy
2297,neutral
2298,happy
2299,happy
2300,neutral
2301,happy
2302,happy
2303,neutral
2304,happy
2305,angry
2306,happy
2307,fear
2308,happy
2309,happy
2310,neutral
2311,happy
2312,happy
2313,happy
2314,happy
2315,neutral
2316,fear
2317,neutral
2318,happy
2319,happy
2320,surprise
2321,happy
2322,neutral
2323,neutral
2324,fear
2325,neutral
2326,neutral
2327,happy
2328,sad
2329,happy
2330,happy
2331,happy
2332,happy
2333,happy
2334,happy
2335,neutral
2336,neutral
2337,neutral
2338,happy
2339,happy
2340,happy
2341,happy
2342,happy
2343,happy
2344,angry
2345,happy
2346,neutral
2347,happy
2348,happy
2349,sad
2350,happy
2351,happy
2352,happy
2353,happy
2354,neutral
2355,happy
2356,sad
2357,happy
2358,neutral
2359,happy
2360,happy
2361,neutral
2362,happy
2363,neutral
2364,happy
2365,neutral
2366,happy
2367,angry
2368,neutral
2369,happy
2370,neutral
2371,neutral
2372,neutral
2373,happy
2374,happy
2375,happy
2376,neutral
2377,happy
2378,sad
2379,happy
2380,happy
2381,neutral
2382,happy
2383,fear
2384,happy
2385,happy
2386,neutral
2387,happy
